Record_ID,Cow_ID,Data_Source,Record_Type,Day,Days_Before_Index,Breed,Age_Years,Lactation_Number,Parity,Days_In_Milk,Previous_Mastitis_History,Vaccination_Status,Hygiene_Score,Bedding_Cleanliness_Score,Milking_Frequency,Body_Temperature_C,Udder_Temperature_C,Activity_Index,Rumination_Time_min,Feed_Intake_kgDM,Water_Intake_L,Ambient_Temperature_C,Humidity_pct,THI,Milk_Temperature,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Milk_Fat_pct,Milk_Protein_pct,Milk_Lactose_pct,Milk_Solids_pct,class1
C0001_H01,C0001,ClassBlind_Synthetic,ClassBlind_History,6,1,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.88960233670263,38.98538379758093,64.29361300428869,484.8092410257144,13.539605513928226,76.64759839573101,24.69927677087147,52.282524635022085,65.95071586636743,35.73405059486485,4.777193175334095,161.14800426810982,17.05598721523615,3.610067468195975,3.338709068021277,4.806728461460326,12.590553944068198,
C0001_H02,C0001,ClassBlind_Synthetic,ClassBlind_History,5,2,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.687654336451125,38.98208090130433,59.222300765297874,502.1185266575669,13.321198494140356,72.6406179025848,23.989591033746603,48.03712251443615,64.91741109659594,36.08942072630534,4.851894354847691,141.4590482685053,16.562361701183352,3.5864011795272472,3.4348841328209447,4.753947350867515,12.55634098827943,
C0001_H03,C0001,ClassBlind_Synthetic,ClassBlind_History,4,3,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.54077721219581,38.92041063329851,57.694919609683254,510.61569779966663,13.667054699836106,64.87864490957602,25.31536393703742,50.20649989010088,64.66414686717016,35.83983491812365,4.9699270000585445,197.80156414106239,15.83739359168695,3.6007975227881563,3.520353533931975,4.746096313984487,12.79083940440643,
C0001_H04,C0001,ClassBlind_Synthetic,ClassBlind_History,3,4,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.37360254475197,38.66921647683385,60.01747556632532,523.2130484313949,14.44114103436077,68.305450732355,24.629496939876432,51.534147846917776,63.18124437484609,35.63549348234923,5.049140761803477,235.94568928210663,15.602017523153142,3.6172367714058327,3.5705967598284007,4.781786612995099,12.881844392242135,
C0001_H05,C0001,ClassBlind_Synthetic,ClassBlind_History,2,5,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.46319017598873,38.38576486596713,57.90823409869126,523.1775842655522,13.963979136023125,65.90370044361343,24.666335947667715,49.92432619607236,62.605928252625446,35.02236747876341,5.50793855108599,218.54009045377768,14.267632115962533,3.604017119947224,3.602855710735273,4.76016721976087,13.03675802086391,
C0001_H06,C0001,ClassBlind_Synthetic,ClassBlind_History,1,6,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.56890170395466,38.32448787470671,50.38721057425401,533.2758828009128,13.89593649561418,72.6539720234749,24.79807774844611,51.26845930395267,65.29335893366937,35.20820232898683,5.71167602772809,204.84187112174487,14.420093822887553,3.601336067183193,3.557437190787527,4.804029682455418,12.86588351118074,
C0001_H07,C0001,ClassBlind_Synthetic,ClassBlind_History,0,7,Sahiwal,7.6,6,6,47,1,0,2,2,3,38.4379831897031,38.56546963709339,54.402919866557134,546.6485579798622,14.305322603112456,67.81097787994736,23.877416612936017,47.861349461033186,62.50980594767663,34.626485482631224,5.8630758473308395,209.83091694730155,14.440230159778535,3.5918130563991566,3.607640553659346,4.834853843779134,12.794065714880329,
C0002_H01,C0002,ClassBlind_Synthetic,ClassBlind_History,19,1,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.58807846387659,38.217570698848675,77.10239275613625,436.677992874018,25.022849019336622,109.99547990511037,32.5040736039243,49.402021072650086,83.6854727718534,35.81923896787419,5.243997062496403,81.0506935669917,19.793725951349913,3.6788031045719523,3.308139610386755,4.853232730348397,12.396063463941019,
C0002_H02,C0002,ClassBlind_Synthetic,ClassBlind_History,18,2,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.85207888000997,38.379321438407025,84.29517048659974,423.4377689042267,25.87629101319248,111.84849880551683,32.48931846209279,47.189027442009234,87.1771885545963,35.53394902206504,5.340072602324886,79.36346904339473,19.910854274891115,3.6980799307904064,3.2961059587220234,4.805924863438475,12.563513547460861,
C0002_H03,C0002,ClassBlind_Synthetic,ClassBlind_History,17,3,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.78191346190181,38.29704183926582,88.41816940783609,411.07553195034234,25.413920155189913,106.72611461758486,33.967229788609544,49.82516663876968,88.67724323541859,35.61908417329315,5.098291033843146,83.11724775915538,21.243954911415905,3.7326444291408913,3.2452440761402,4.736606869690086,12.581735519953007,
C0002_H04,C0002,ClassBlind_Synthetic,ClassBlind_History,16,4,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.808924391096994,38.41634483548567,91.64316296099418,381.16907390590194,24.2793560321471,99.0187887577174,33.790279157456496,48.57565215792408,90.41666546711673,35.70002233093969,5.148261980774869,88.54797443099237,20.40943690787503,3.7538032449496854,3.2752590543883437,4.80267036858603,12.667030791702206,
C0002_H05,C0002,ClassBlind_Synthetic,ClassBlind_History,15,5,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.83247468124805,38.45534841914873,88.11755953204555,387.6390378668847,22.880401908243435,93.1853559239248,34.08659430576189,48.70105056407976,91.74892126224795,35.92828865774781,5.1770343949111925,108.10076506213773,20.354652671553037,3.888726067280861,3.244278748156414,4.853113279048131,12.575602262947356,
C0002_H06,C0002,ClassBlind_Synthetic,ClassBlind_History,14,6,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,38.95072676339322,38.385123060713546,88.06108989756854,388.2693562913136,22.034040941714515,95.14636938943593,34.65265588862832,47.01119192710527,93.63029133669605,35.94150636686093,5.302032758011248,140.73295497766924,22.576177816177946,3.860880804536112,3.2803225449302804,4.895742714715727,12.72411929278729,
C0002_H07,C0002,ClassBlind_Synthetic,ClassBlind_History,13,7,Holstein_Friesian,6.9,6,6,91,1,1,1,2,3,39.140598760564835,38.51163444068622,84.92528116754815,386.7521447257699,21.977890636537094,94.38562208838341,34.53767584735881,43.241988119543734,96.63397831348253,35.592977445969055,5.200254706750645,113.51253315825628,23.439979532828396,3.9545632283955316,3.181448047618657,4.827825278631887,12.781168177066341,
C0003_H01,C0003,ClassBlind_Synthetic,ClassBlind_History,28,1,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.58798207691372,38.87058769034242,59.76518376989207,564.7419722841169,11.025823736908475,89.45229743613446,22.003965176227464,66.25318265275223,65.91738688606216,34.949742710124774,4.8949929033426,237.05936664395605,18.032702610300202,3.781721222318612,3.0277284463678344,4.655656311753648,12.210993585659828,
C0003_H02,C0003,ClassBlind_Synthetic,ClassBlind_History,27,2,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.6044085282368,38.42495352036351,57.24824663190003,562.5295869218969,10.350648845850936,91.21626897893522,21.080850474128148,67.88483218652571,71.27165630777958,35.14228855213935,4.8156940689684635,244.25750894832527,18.186657684920256,3.7477480909552794,3.036809467657701,4.704053018445052,12.122794430465804,
C0003_H03,C0003,ClassBlind_Synthetic,ClassBlind_History,26,3,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.35842556734412,38.137275495154874,58.34323150936328,568.2921479340099,10.949463905019815,93.00084837709034,21.73787900949548,65.55318443655631,75.41002290265958,35.41492972493971,5.166201177456001,240.50965109311463,19.677744996512274,3.7310457172405593,3.0267802994698907,4.754499727373716,12.265473216662912,
C0003_H04,C0003,ClassBlind_Synthetic,ClassBlind_History,25,4,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.463566525164985,38.34114593765838,60.52725258770148,590.1794986737317,11.32713576755723,91.71151992835331,21.823811692638206,64.38844092158591,76.79452527282727,35.20646628431572,5.252235156684434,286.7025279157844,19.403733649149526,3.729909568975508,3.1053114626529155,4.781000484996024,12.266204139031025,
C0003_H05,C0003,ClassBlind_Synthetic,ClassBlind_History,24,5,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.47476807511637,38.171625102270674,61.6208641488779,580.8529603880255,11.958020183154428,95.5492481892924,23.07485622779797,68.89595233755813,75.66659377160553,35.24056051992721,5.396204399494703,304.2155535742729,19.849810664221724,3.8266119859380923,3.155752799714551,4.774035713946555,12.25710579041492,
C0003_H06,C0003,ClassBlind_Synthetic,ClassBlind_History,23,6,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.54279087748072,38.214237017912694,60.16154076188211,567.7348408764115,12.33339486534847,94.80097055542456,22.86030478063761,63.01169986884719,76.56309777455459,35.61640724159817,5.505827547942222,276.3926653891816,19.91389310673266,3.8199229753313326,3.226875070386028,4.793813478577594,12.228754876690045,
C0003_H07,C0003,ClassBlind_Synthetic,ClassBlind_History,22,7,Sahiwal,5.0,4,4,208,0,0,2,3,2,38.26018757810505,38.25694798498524,62.883597774054394,569.1682158175229,12.791776194506866,98.78789726471732,21.68517164229793,58.1534846033747,77.06583804362049,36.25156102019196,5.4260518191582845,257.84727476922274,20.20216709583308,3.9330615225580825,3.2208102230443307,4.741323972304128,12.366684065569045,
C0004_H01,C0004,ClassBlind_Synthetic,ClassBlind_History,14,1,Jersey,6.9,6,6,209,0,0,2,3,3,38.307297621904205,39.10841398051597,67.15518055792721,474.3076755102604,15.293177232283517,74.54589465244285,27.286364527831292,45.83859721744903,76.71796982577939,35.96392372295149,4.655261207781902,97.37056667454318,21.829723477409807,3.4701585838526157,3.2921726256521575,4.92459094794191,12.319746034706844,
C0004_H02,C0004,ClassBlind_Synthetic,ClassBlind_History,13,2,Jersey,6.9,6,6,209,0,0,2,3,3,38.339635625171546,38.82405787020552,68.50768296515996,496.15687235017305,14.648143402003164,72.6566706020724,24.89498142641025,47.93582266357402,70.69769820334228,36.27361107171899,4.551345761449377,114.19658794459926,22.3312499309042,3.416853164969498,3.1964487091271545,4.9394910970755666,12.258797543464297,
C0004_H03,C0004,ClassBlind_Synthetic,ClassBlind_History,12,3,Jersey,6.9,6,6,209,0,0,2,3,3,38.4388709907783,38.984284157187034,65.6347983883055,484.72205388676804,13.134820231458846,78.20271441644418,25.373874195207605,44.26377873837264,68.3582485738834,36.30257356728716,4.497852578930365,78.80698567618053,23.83393412703903,3.3859138120515184,3.236729211765593,5.02394179702672,12.215769531117477,
C0004_H04,C0004,ClassBlind_Synthetic,ClassBlind_History,11,4,Jersey,6.9,6,6,209,0,0,2,3,3,38.333640108325675,38.9337778144364,56.89130108983147,503.6461661798494,14.238441209811242,82.64763617160256,24.769364045319907,50.76275368376062,68.6111342779347,36.360467535044364,4.511743821329923,68.63023281866944,24.287618144954738,3.4429987156104396,3.2288489557842635,5.036410431062682,12.146620996746204,
C0004_H05,C0004,ClassBlind_Synthetic,ClassBlind_History,10,5,Jersey,6.9,6,6,209,0,0,2,3,3,38.43832766671922,38.95338676600707,54.19029899426258,503.6882650689381,15.526053723626527,76.55976285770623,23.661593707713536,46.08163143413675,69.72492883162059,36.40206251063641,4.43487124376788,67.02831430110379,24.579591273872463,3.4134961303393303,3.1400642912603134,5.026431637838894,12.165293511386464,
C0004_H06,C0004,ClassBlind_Synthetic,ClassBlind_History,9,6,Jersey,6.9,6,6,209,0,0,2,3,3,38.379201641294024,39.25994723386694,53.33494781723704,518.4493701961087,15.110156271045545,70.070665681928,23.904989524308668,53.39424924786517,70.91359508064055,36.556256331523315,4.194507872067351,73.84244673903999,24.276731114307818,3.4991354405767607,3.0780706682694428,4.9615618002388935,12.308435818498275,
C0004_H07,C0004,ClassBlind_Synthetic,ClassBlind_History,8,7,Jersey,6.9,6,6,209,0,0,2,3,3,38.32436281599,39.34806687918938,55.21410122794894,506.982948522937,15.144544509280493,69.35072367015759,24.45857979724756,50.14731902779083,70.68998561910438,36.432100669904614,4.23314295334224,70.05963587401153,25.193359334269868,3.4830840328905954,3.0519743543895963,4.892239310523505,12.241217194296341,
C0005_H01,C0005,ClassBlind_Synthetic,ClassBlind_History,10,1,Crossbred,4.5,3,3,47,0,0,1,1,2,39.18809167942365,39.618177517794905,64.36388001870472,471.2802267001206,12.865390197916259,85.58214378285936,31.282640734651142,67.72222027961156,81.61443699010363,35.98244922296087,5.007238343457859,110.36094374793569,23.88529864960117,3.963446373004614,3.341990568398699,4.725851098208388,13.122763019178585,
C0005_H02,C0005,ClassBlind_Synthetic,ClassBlind_History,9,2,Crossbred,4.5,3,3,47,0,0,1,1,2,39.12594398952565,39.59850435075895,61.41159840762375,466.96479723220756,13.65154675600991,85.19099915566375,30.92584287155991,65.222146873928,79.19902904905271,36.00092312138123,4.991220555797123,124.28902308414506,24.334088877223536,3.9876367635379224,3.4082417901801305,4.798018109847086,13.256675803226946,
C0005_H03,C0005,ClassBlind_Synthetic,ClassBlind_History,8,3,Crossbred,4.5,3,3,47,0,0,1,1,2,39.12318311611653,39.464478851188275,57.95336991962417,453.0617040807833,13.457601615855898,87.54950909749658,30.057288401640502,64.87433438332917,77.01115968751141,35.917158758095276,4.879362640324446,135.71137055076022,25.288441958306194,4.11557651983712,3.4961849487358543,4.776545684022685,13.280285659621029,
C0005_H04,C0005,ClassBlind_Synthetic,ClassBlind_History,7,4,Crossbred,4.5,3,3,47,0,0,1,1,2,38.89142350511113,39.584013146675176,58.48882774702147,448.3414297509048,14.01018165431763,92.22532337783596,28.76524981904212,64.65091951097897,72.63261568329257,36.189518777677954,4.733440822958308,145.36923406390918,25.5695777295357,4.034004095080778,3.46808403583149,4.855579756897817,13.280667160802375,
C0005_H05,C0005,ClassBlind_Synthetic,ClassBlind_History,6,5,Crossbred,4.5,3,3,47,0,0,1,1,2,38.79805152063879,39.68304872734531,59.18200903482733,435.06363722055517,13.265067035031096,91.27658511567513,30.963065140533722,65.73870574458506,74.2184034573985,36.38576632759641,4.803439602093999,162.83801256764323,24.217315524439943,3.989230007132026,3.3802149702205018,4.862243807992622,13.26051782722011,
C0005_H06,C0005,ClassBlind_Synthetic,ClassBlind_History,5,6,Crossbred,4.5,3,3,47,0,0,1,1,2,38.77473781745287,39.610379549602726,53.223709211304495,452.01607535223985,13.207181287249586,87.01191826323384,33.19750512200448,65.85210628427664,76.05146094321324,35.71863915660765,5.042748579785416,163.0890146461098,24.97284254973393,3.97477056478664,3.3334401221341365,4.865187169165415,13.093826645884095,
C0005_H07,C0005,ClassBlind_Synthetic,ClassBlind_History,4,7,Crossbred,4.5,3,3,47,0,0,1,1,2,38.96861522712763,39.87006141765901,55.21278830556467,465.74302855663433,12.90044472872271,82.76475763560144,34.360550053194814,67.95916457444848,74.98909699414358,35.338672599806046,5.145732842034177,165.2276787792622,24.809429681661424,3.98954779337358,3.255666526613288,4.809402782584823,12.999900403556756,
C0006_H01,C0006,ClassBlind_Synthetic,ClassBlind_History,7,1,Gir,4.9,3,3,21,0,0,2,1,3,39.160876849473176,40.268793186164004,59.73315135912633,580.8338500881125,9.741752962544101,85.61305277223046,16.151889102515383,74.86716696076343,62.95165069071855,36.14676694584676,4.259699513090224,120.5310858121629,24.550151985633892,3.790755346363925,3.4424298549604138,4.603647092658721,12.373578866729755,
C0006_H02,C0006,ClassBlind_Synthetic,ClassBlind_History,6,2,Gir,4.9,3,3,21,0,0,2,1,3,39.56206568318006,40.10597300160498,57.51847155314816,562.5399943288969,9.547433320328038,86.66814689219515,15.851796093787515,74.90208457549846,58.34178545691511,36.28510045419705,4.463401310038522,159.82314340425256,24.987375849733404,3.7510878619951047,3.478963848248805,4.616807726291194,12.441489791076698,
