Record_ID,Cow_ID,Data_Source,Record_Type,Day,Days_Before_Index,Breed,Age_Years,Lactation_Number,Parity,Days_In_Milk,Previous_Mastitis_History,Vaccination_Status,Body_Temperature_C,Udder_Temperature_C,Activity_Index,Rumination_Time_min,Feed_Intake_kgDM,Water_Intake_L,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,Milk_Fat_pct,Milk_Protein_pct,Milk_Lactose_pct,Milk_Solids_pct,Ambient_Temperature_C,Humidity_pct,THI,Hygiene_Score,Bedding_Cleanliness_Score,Milking_Frequency,class1,SCC_Change_3d,SCC_Change_7d,Conductivity_Change_3d,Conductivity_Change_7d,Yield_Change_3d,Yield_Change_7d,Activity_Change_3d,Activity_Change_7d,Rumination_Change_3d,Rumination_Change_7d,Temperature_Change_3d,Temperature_Change_7d
R00001,C0001,Original,Index_Observation,7,0,Sahiwal,7.6,6,6,47,1,0,38.72,38.9,60.3,486.9,12.36,75.9,35.38,6.49,4.68,148,17.3,0.0,3.61,3.41,4.84,12.63,23.5,47.7,69.7,2,2,3,0.0,-105.49,,-0.63,,-2.47,,3.57,,-56.54,,0.0,
R00002,C0002,Original,Index_Observation,20,0,Holstein_Friesian,6.9,6,6,91,1,1,38.46,38.41,73.2,448.0,24.4,110.8,35.68,6.46,5.04,101,20.4,0.0,3.57,3.33,4.76,12.38,30.4,53.4,79.4,1,2,3,0.0,-48.0,-73.56,0.3,-0.19,-4.66,-7.4,-0.93,10.92,48.39,87.38,-0.1,0.45
R00003,C0003,Original,Index_Observation,29,0,Sahiwal,5.0,4,4,208,0,0,38.83,39.16,60.9,570.0,11.17,87.6,34.87,6.84,4.73,206,18.5,0.0,3.73,3.04,4.69,11.98,22.4,65.9,69.6,2,3,2,0.0,-25.03,-17.3,0.21,-0.29,-1.93,-3.33,9.27,7.75,36.01,36.43,-0.63,-0.53
R00004,C0004,Original,Index_Observation,15,0,Jersey,6.9,6,6,209,0,0,38.42,39.35,61.6,451.5,15.58,70.6,36.22,6.69,4.48,96,23.5,0.0,3.48,3.28,4.94,12.39,27.2,47.0,74.2,2,3,3,0.0,13.18,-9.42,-0.24,0.08,-1.13,0.11,-7.11,1.02,-89.64,-85.38,-0.31,-0.56
R00005,C0005,Original,Index_Observation,11,0,Crossbred,4.5,3,3,47,0,0,39.17,39.64,59.0,457.4,14.7,84.7,35.46,6.56,5.0,142,23.9,0.0,4.05,3.38,4.73,12.95,30.3,69.6,81.8,1,1,2,0.0,-88.92,-21.66,-0.84,-1.57,-2.18,-5.49,-6.25,4.24,28.25,20.11,0.04,-0.03
R00006,C0006,Original,Index_Observation,8,0,Gir,4.9,3,3,21,0,0,39.23,40.2,59.0,560.7,9.4,80.0,36.06,6.7,4.63,108,22.6,0.0,3.69,3.48,4.63,12.42,15.5,77.1,59.7,2,1,3,0.0,-11.6,-4.61,-1.2,-0.39,-2.26,-3.3,-11.56,-27.14,-59.31,-59.31,-0.15,0.14
R00007,C0007,Original,Index_Observation,29,0,Sahiwal,2.5,2,2,269,0,1,38.61,38.73,73.7,468.6,11.39,76.6,35.67,6.39,4.86,173,20.9,0.0,4.08,3.36,4.63,12.81,25.2,73.2,74.5,3,1,3,0.0,-31.65,-139.4,-0.51,-0.47,0.61,0.06,-2.45,-7.3,-100.31,-71.5,-0.09,-0.8
R00008,C0008,Original,Index_Observation,21,0,Sahiwal,5.2,5,5,10,0,0,39.0,39.97,56.1,427.1,10.89,38.7,38.48,6.89,7.33,733,6.9,0.0,3.78,3.38,4.76,12.68,30.2,72.6,82.1,3,2,2,1.0,276.87,483.86,0.16,0.96,-0.72,-1.54,0.31,3.29,41.48,43.81,0.18,0.33
R00009,C0009,Original,Index_Observation,7,0,Crossbred,4.6,2,2,298,0,0,38.91,39.06,79.8,413.5,15.78,80.1,35.78,6.68,4.51,129,16.4,0.0,4.14,3.44,4.64,13.04,29.2,37.0,75.3,1,2,3,0.0,-6.62,,0.05,,-2.41,,-20.23,,52.0,,-0.01,
R00010,C0010,Original,Index_Observation,26,0,Holstein_Friesian,2.2,1,1,300,0,0,38.15,38.63,62.7,513.5,21.53,66.6,35.72,6.74,4.73,184,25.8,0.0,3.98,3.18,4.87,12.93,25.3,85.0,75.9,1,1,2,0.0,36.75,36.2,-0.49,-0.19,-5.4,-4.54,10.58,20.42,-3.62,-25.4,0.09,-0.12
