record_date,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,vaccinated,chronic_disease_flag,latitude,longitude,environment_area,ambient_temperature_c,relative_humidity_pct,temperature_humidity_index,surface_moisture_pct,hygiene_score_0_100,ventilation_score_0_100,manure_contamination_score_0_100,teat_cleanliness_score_0_100,milking_hygiene_score_0_100,post_milking_teat_dip,milking_interval_h,feed_intake_kg_day,water_intake_l_day,environment_total_mastitis_pathogen_load_log10,S_aureus_load_log10_cfu_equiv,S_uberis_load_log10_cfu_equiv,E_coli_load_log10_cfu_equiv,K_pneumoniae_load_log10_cfu_equiv,S_agalactiae_load_log10_cfu_equiv,dominant_environment_pathogen,dominant_pathogen_relative_abundance_pct,milk_yield_kg_day,milk_scc_cells_per_ml,milk_conductivity_mS_cm,milk_pH,milk_temperature_c,milk_fat_pct,milk_protein_pct,milk_lactose_pct,cmt_score_0_3,body_temperature_c,udder_surface_temperature_c,activity_score,rumination_min_day,blood_wbc_10e9_per_l,clinical_mastitis_now,synthetic_risk_score_pct,mastitis_risk_category,mastitis_in_next_7d,mastitis_in_next_14d,days_to_synthetic_event
2026-01-01,F22,1,Jersey_cross,3.5,5,20,0,1,0,12.43545,76.41304,traffic_lane,27.96,75.59,79.01,10.37,56.48,62.81,22.22,48.27,76.46,1,5.42,8.41,54.64,4.917,4.175,4.606,4.187,3.945,3.491,S_uberis,48.85,12.69,49297,3.945,6.641,36.85,3.73,3.38,4.69,0,38.54,33.89,96.4,455.2,6.79,0,9.42,No_Risk,0,0,35.0
2026-01-02,F22,1,Jersey_cross,3.5,5,21,0,1,0,12.43545,76.41304,milking_parlor,27.57,69.29,77.58,6.54,83.0,75.08,2.59,89.09,90.13,1,8.77,7.18,40.84,4.483,4.079,3.912,3.665,3.256,3.58,S_aureus,39.46,13.72,52543,3.946,6.632,36.77,3.64,3.16,4.9,0,38.41,33.79,92.3,457.8,8.92,0,2.63,No_Risk,0,0,34.0
2026-01-03,F22,1,Jersey_cross,3.5,5,22,0,1,0,12.43545,76.41304,feed_area,25.75,88.64,77.07,30.29,58.31,60.77,45.41,51.47,74.93,1,4.85,7.3,54.26,5.359,4.094,4.692,4.814,4.931,4.219,K_pneumoniae,37.31,14.2,108159,4.06,6.669,37.1,3.36,3.26,4.49,0,38.39,33.82,105.7,478.5,8.5,0,21.97,Low,0,0,33.0
2026-01-04,F22,1,Jersey_cross,3.5,5,23,0,1,0,12.43545,76.41304,external_road,32.67,64.72,84.36,1.0,60.17,56.18,21.02,54.01,71.36,1,9.4,7.4,59.15,4.466,4.07,3.793,3.645,3.581,3.484,S_aureus,40.23,13.22,217058,4.206,6.627,37.21,3.95,3.12,4.88,0,38.4,33.94,99.1,520.6,8.33,0,5.43,No_Risk,0,0,32.0
2026-01-05,F22,1,Jersey_cross,3.5,5,24,0,1,0,12.43545,76.41304,soil,30.82,75.94,83.52,23.41,64.18,55.84,26.59,60.53,100.0,1,7.81,7.8,55.96,5.249,3.662,4.931,4.585,4.577,4.053,S_uberis,48.07,14.42,85165,3.923,6.591,37.02,4.15,3.48,4.53,0,38.56,33.76,91.0,482.2,7.16,0,12.01,No_Risk,0,0,31.0
2026-01-06,F22,1,Jersey_cross,3.5,5,25,0,1,0,12.43545,76.41304,external_road,29.39,59.06,78.77,7.06,69.63,81.24,36.08,71.12,79.09,1,9.16,6.04,36.0,4.455,3.41,3.918,3.504,3.917,3.792,S_uberis,29.06,13.82,74475,3.958,6.588,37.27,4.01,3.35,4.8,0,38.68,34.11,107.0,497.0,7.87,0,4.23,No_Risk,0,0,30.0
2026-01-07,F22,1,Jersey_cross,3.5,5,26,0,1,0,12.43545,76.41304,bedding,35.22,75.31,90.26,14.58,48.94,64.2,35.59,30.89,84.15,1,7.96,7.78,48.64,5.392,4.066,4.274,4.568,5.225,4.052,K_pneumoniae,68.08,12.25,108469,3.937,6.675,37.0,3.97,3.49,4.7,0,38.44,34.1,100.2,473.4,9.03,0,23.51,Low,0,0,29.0
2026-01-08,F22,1,Jersey_cross,3.5,5,27,0,1,0,12.43545,76.41304,milking_parlor,29.06,68.6,79.7,13.8,80.55,69.4,19.34,62.53,85.51,1,7.52,8.07,50.37,4.915,4.481,3.849,4.192,4.147,4.187,S_aureus,36.78,13.98,94492,3.832,6.673,36.86,4.15,3.38,4.81,0,38.43,33.75,99.7,440.9,7.18,0,6.77,No_Risk,0,0,28.0
2026-01-09,F22,1,Jersey_cross,3.5,5,28,0,1,0,12.43545,76.41304,bedding,28.57,80.27,80.63,39.02,57.14,77.54,42.93,55.14,70.11,1,8.0,7.29,48.52,6.266,4.455,5.426,5.8,5.956,4.185,K_pneumoniae,48.96,13.18,112312,4.101,6.652,36.89,4.08,3.12,4.69,0,38.31,33.63,98.9,487.4,8.02,0,57.68,Moderate,0,0,27.0
2026-01-10,F22,1,Jersey_cross,3.5,5,29,0,1,0,12.43545,76.41304,milking_parlor,27.33,77.96,78.34,1.0,74.5,77.78,0.0,80.22,100.0,1,8.34,7.54,40.59,4.595,4.135,3.533,3.737,3.848,3.991,S_aureus,34.7,12.53,54602,4.116,6.612,37.03,3.72,3.49,4.76,0,38.5,34.76,82.1,468.4,7.83,0,3.1,No_Risk,0,0,26.0
2026-01-11,F22,1,Jersey_cross,3.5,5,30,0,1,0,12.43545,76.41304,soil,24.43,68.66,72.83,37.02,43.28,73.61,57.05,41.45,69.18,1,8.27,6.13,44.44,5.627,4.249,5.315,5.026,4.911,4.075,S_uberis,48.7,12.21,159213,4.157,6.624,37.16,3.88,3.19,4.7,0,38.66,34.18,103.2,449.7,8.47,0,40.69,Low,0,0,25.0
2026-01-12,F22,1,Jersey_cross,3.5,5,31,0,1,0,12.43545,76.41304,external_road,29.36,61.48,79.09,2.27,78.33,75.15,1.4,70.38,96.51,1,8.51,5.77,46.57,4.42,3.785,3.608,3.819,3.623,3.73,E_coli,25.06,13.67,144106,3.95,6.617,36.94,3.92,3.1,4.73,0,38.45,34.17,89.7,457.6,8.62,0,3.94,No_Risk,0,0,24.0
2026-01-13,F22,1,Jersey_cross,3.5,5,32,0,1,0,12.43545,76.41304,pasture,31.43,71.91,83.79,24.95,84.52,72.22,6.88,73.01,100.0,0,7.26,7.33,54.38,5.175,4.274,4.855,4.511,4.342,3.66,S_uberis,47.95,13.17,92235,4.101,6.666,36.99,3.57,3.36,4.79,0,38.53,34.04,90.0,468.2,7.96,0,7.01,No_Risk,0,0,23.0
2026-01-14,F22,1,Jersey_cross,3.5,5,33,0,1,0,12.43545,76.41304,external_road,25.01,73.18,74.17,1.0,61.87,71.68,36.27,62.74,73.09,1,7.18,6.18,39.86,4.217,3.825,3.481,3.466,3.303,3.261,S_aureus,40.6,12.97,114537,3.968,6.653,36.98,4.0,3.2,4.72,1,38.61,34.35,86.5,464.9,7.03,0,4.39,No_Risk,0,0,22.0
2026-01-15,F22,1,Jersey_cross,3.5,5,34,0,1,0,12.43545,76.41304,bedding,27.36,87.76,79.66,29.33,55.64,71.41,22.41,39.78,73.01,1,6.9,7.11,53.69,5.951,4.054,5.091,5.327,5.723,4.271,K_pneumoniae,59.1,12.18,66434,4.208,6.647,37.09,3.76,3.26,4.88,1,38.46,34.07,95.0,519.5,8.49,0,43.73,Low,0,0,21.0
2026-01-16,F22,1,Jersey_cross,3.5,5,35,0,1,0,12.43545,76.41304,bedding,29.02,66.97,79.41,29.76,50.35,71.97,38.15,39.78,64.4,0,8.75,6.63,53.11,5.912,4.914,5.107,5.362,5.564,4.024,K_pneumoniae,44.81,12.12,71356,4.095,6.633,36.95,3.92,3.26,4.7,0,38.43,34.75,102.5,478.8,5.42,0,58.86,Moderate,0,0,20.0
2026-01-17,F22,1,Jersey_cross,3.5,5,36,0,1,0,12.43545,76.41304,traffic_lane,29.83,74.49,81.76,17.09,63.77,81.95,29.54,61.53,90.16,1,9.66,7.34,56.11,5.03,3.93,4.504,4.43,4.564,3.497,K_pneumoniae,34.21,13.11,150615,4.165,6.668,36.9,3.44,3.07,4.83,0,38.52,33.59,104.7,513.9,8.38,0,12.69,No_Risk,0,0,19.0
2026-01-18,F22,1,Jersey_cross,3.5,5,37,0,1,0,12.43545,76.41304,bedding,32.11,87.98,87.67,23.92,44.69,59.42,48.15,42.26,74.53,1,6.93,6.69,42.15,5.725,4.041,4.9,5.076,5.481,4.268,K_pneumoniae,57.06,14.08,166061,3.889,6.643,37.04,3.95,3.25,4.65,0,38.63,34.19,111.5,463.3,7.0,0,43.52,Low,0,0,18.0
2026-01-19,F22,1,Jersey_cross,3.5,5,38,0,1,0,12.43545,76.41304,traffic_lane,29.27,64.7,79.44,7.01,52.64,56.88,29.65,65.73,67.97,1,8.01,7.07,54.54,5.214,4.04,5.081,4.129,4.19,3.537,S_uberis,73.53,13.76,152992,4.087,6.656,36.78,3.89,3.12,4.76,0,38.62,33.72,96.2,443.4,9.18,0,13.84,No_Risk,0,0,17.0
2026-01-20,F22,1,Jersey_cross,3.5,5,39,0,1,0,12.43545,76.41304,bedding,29.33,86.4,82.76,23.9,52.39,64.8,39.52,54.53,77.32,1,6.71,7.83,47.25,5.823,4.214,4.696,5.536,5.389,4.01,E_coli,51.7,13.98,87897,3.901,6.641,37.02,3.76,3.25,4.94,0,38.46,33.9,102.8,469.1,8.05,0,48.76,Moderate,0,0,16.0
